name,address,hierarchy,lat_coordinates,long_coordinates
The Refuge,"Oxford St, Manchester M60 7HA",0,53.47359,-2.2401
Platzki,"229 Deansgate, Manchester M3 4EN",0,53.47888,-2.24917
The Koffee Pot,"84-86 Oldham St, Manchester M4 1LE",0,53.48314,-2.23484
The Beagle,"456-458 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 0BQ",0,53.43246,-2.27027
Evelyn’s,"44 Tib St, Manchester M4 1LA",0,53.483089,-2.23579
Banyan - Spinningfields,"Vantage Point, Manchester M3 3PL",0,53.456799,-2.13519
Victors,"46 London Rd, Alderley Edge SK9 7DZ",0,53.300362,-2.23619
The Pen And Pencil,"Fourways House, 57 Hilton St, Manchester M1 2EJ",0,53.48122,-2.2317
Crazy Pedro’s,"55-57 Bridge St, M3 3BQ",0,53.481312,-2.25055
Gaucho Manchester,"2A St Mary's St, Manchester M3 2LB",0,53.51145,-2.18211
Campo Blanco,"1 Moss Ln, Whitefield, Manchester M45 6QE",0,53.54806,-2.29226
Menagerie,"New Bailey, Ground One, New Bailey St, Salford M3 5JL",0,53.48221,-2.25375
Motley,"115 Deansgate, Manchester M3 2NW",0,53.47888,-2.24917
La Bandera,"2 Ridgefield, Manchester M2 6EQ",0,53.48065,-2.24732
Fress,"62 Oldham St, Manchester M4 1LE",0,53.48363,-2.23405
Dishoom,"32 Bridge St, Manchester M3 3BT",0,53.481339,-2.25052
Pot Kettle Black,"Barton Arcade, Manchester M3 2BW",0,53.47888,-2.24917
Idle Hands Coffee,"35 Dale St, Manchester M1 2HF",0,53.48131,-2.23318
Takk,"6 Tariff St, Manchester M1 2FF",0,53.481022,-2.23309
Kong's,"101, 103 Oldham St, Manchester M4 1LW",0,53.48378,-2.23405
Escape to Freight Island,"11 Baring St, Manchester M1 2PZ",0,53.47637,-2.22709
Manchester Art Gallery,"Mosley St, Manchester M2 3JL",1,53.479721,-2.24077
HOME,"2 Tony Wilson Pl, Manchester M15 4FN",1,53.47398,-2.24569
Rogue Artists’ Studios,"4 Barrass St, Openshaw, Manchester M11 1WP",1,53.47061,-2.16822
Salford Museum and Art Gallery,"Crescent, Salford M5 4WU",1,53.481281,-2.29699
The Lowry,"The Quays, Salford M50 3AZ",1,53.47165,-2.28797
The Whitworth,"Oxford Rd, Manchester M15 6ER",1,53.464081,-2.23148
Islington Mill,"James St, Salford M5, UK",1,53.48205,-2.26374
Holden Gallery,"Grosvenor Building, Metropolitan University, Cavendish St, Manchester M15 6BR",1,53.46938,-2.23967
Castlefield Gallery,"2 Hewitt St, Greater, Manchester M15 4GB",1,53.47394,-2.24981
Gallery Oldham,"35 Greaves St, Oldham OL1 1AL",1,53.54067,-2.11021
Factory International,"Aviva Studios, Water St, Manchester M3 4JQ",1,53.51059,-2.21389
Pottery Corner,"34 Beech Rd, Chorlton-cum-Hardy, Greater, Manchester M21 9EL",1,53.43877,-2.28168
Seven Limes Pottery,"Unit 5, The, Windrush Millennium Centre, 70 Alexandra Rd, Manchester M16 7WD",1,53.46005,-2.25223
Clay Studio," 61 Old Birley St, Hulme, Manchester M15 5RF",1,53.46469,-2.24849
Boom Battle Bar,"Unit 2A, The Printworks, 27 Withy Grove, Manchester M4 2BS",1,53.48454,-2.24093
Virtual Hideout,"51 Church St, Manchester M4 1PD",1,53.483021,-2.2376
DNA VR,"30 Brown St, Manchester M2 1DH",1,53.48136,-2.24233
Booze and Burn,"Unit 4, Regent Road Trading Estate, Salford M5 4DE",1,53.4782,-2.26836
Sken Studios,"First Floor, 100 School Rd, Sale, M33 7XB",1,53.42503,-2.32145
Cork and Canvas,"23 Radium St, Ancoats, Manchester M4 6AY",1,53.48506,-2.22583
