names,edges,distance,weighting
"('The Refuge', 'Manchester Art Gallery')","(0, 21)",0.024361447864773806,1.0
"('The Refuge', 'HOME')","(0, 22)",0.013303769401330377,0.85
"('The Refuge', 'Rogue Artists’ Studios')","(0, 23)",0.1705877271287471,1.0
"('The Refuge', 'Salford Museum and Art Gallery')","(0, 24)",0.138105796642382,1.0
"('The Refuge', 'The Lowry')","(0, 25)",0.11360036858928212,1.0
"('The Refuge', 'The Whitworth')","(0, 26)",0.04290609612117373,1.0
"('The Refuge', 'Islington Mill')","(0, 27)",0.06525182134938233,1.0
"('The Refuge', 'Holden Gallery')","(0, 28)",0.016730497883491232,1.0
"('The Refuge', 'Castlefield Gallery')","(0, 29)",0.023008034094508596,1.0
"('The Refuge', 'Gallery Oldham')","(0, 30)",0.40639847956921127,1.0
"('The Refuge', 'Factory International')","(0, 31)",0.04601606818901719,0.85
"('The Refuge', 'Pottery Corner')","(0, 32)",0.16972384599879056,0.85
"('The Refuge', 'Seven Limes Pottery')","(0, 33)",0.060932415699599736,1.0
"('The Refuge', 'Clay Studio')","(0, 34)",0.040516024994960695,1.0
"('The Refuge', 'Boom Battle Bar')","(0, 35)",0.04348201687447807,1.0
"('The Refuge', 'Virtual Hideout')","(0, 36)",0.037866789529760705,1.0
"('The Refuge', 'DNA VR')","(0, 37)",0.03127249690442595,1.0
"('The Refuge', 'Sken Studios')","(0, 38)",0.2726408846142771,1.0
"('The Refuge', 'Cork and Canvas')","(0, 39)",0.05667060212514758,1.0
"('The Refuge', 'Ma Lumiere')","(0, 40)",0.0962363578771561,1.0
"('The Refuge', 'Northern Flower')","(0, 41)",0.04109194574826504,1.0
"('The Refuge', 'Junkyard Golf Club')","(0, 44)",0.013303769401330377,1.0
"('The Refuge', 'Goodtime Games')","(0, 62)",0.18668471218360352,1.0
"('Platzki', 'Manchester Art Gallery')","(1, 21)",0.020157226365652085,1.0
"('Platzki', 'HOME')","(1, 22)",0.021107495608604258,0.85
"('Platzki', 'Rogue Artists’ Studios')","(1, 23)",0.19443084631554697,1.0
"('Platzki', 'Salford Museum and Art Gallery')","(1, 24)",0.11360036858928212,1.0
"('Platzki', 'The Lowry')","(1, 25)",0.0962363578771561,1.0
